#=================================================================
# Exposures by Country
# Report Suite: Cru Global Report Suite
"# Date: Dec 1, 2019 - Nov 29, 2020"
#=================================================================


##############################################
"# Web engagement (including mobile web), by property"
##############################################
,Last FULL 7 days (-2),Last FULL 30 days (-2),Last FULL 90 days (-2),Last FULL 365 days (-2)
,Unique Visitors,Unique Visitors,Unique Visitors,Unique Visitors
Countries,679848,2964430,10609789,58038953
United States,176796,732547,2255144,10406486
Brazil,42895,222096,668761,6559886
Mexico,7410,40355,544333,3984498
Turkey,24284,257407,695215,2789150
India,37171,114311,808422,2728541
Colombia,5395,27759,287805,2362630
Indonesia,24600,86954,494061,2312702
Nigeria,38537,172666,562452,2250167
Egypt,23902,68692,178910,1438459
Poland,15797,105511,250598,1405133
Romania,12724,48689,120431,1181861
Hungary,13320,33193,76515,920642
Peru,1700,9002,93607,919811
Ecuador,1946,13138,166904,864885
Philippines,24322,78924,252689,754898
Venezuela,3008,16986,147556,748054
France,7440,33680,93352,747389
Chile,796,5865,88909,723624
United Kingdom,11544,46490,133548,703618
Canada,13124,49747,145596,680805
Russian Federation,8324,52569,125476,609362
Democratic Republic of The Congo,6504,21519,70923,445671
Morocco,4161,11868,34124,436617
Slovakia (Slovak Republic),3445,18628,47207,406470
Guatemala,1209,7890,82792,399538
South Africa,5977,26022,76430,377569
Algeria,5512,15228,61006,365684
Cameroon,5753,25683,79846,358632
Australia,5472,23962,73000,345258
Angola,4659,17289,57802,344390
Germany,5752,29032,70833,337975
Kenya,5435,23336,66454,331223
Honduras,526,4902,76810,329344
Uganda,2305,16425,65565,315146
Costa Rica,657,4708,61872,305907
Pakistan,3768,15502,44930,296071
Ethiopia,4464,18665,65016,278202
Lebanon,7362,17982,40952,270069
Cote D Ivoire,4304,18863,50836,263964
Ghana,3954,18613,61994,259452
Singapore,4407,18188,51907,253362
Zambia,3157,14498,52359,218493
Portugal,1063,3551,9632,216595
Mozambique,3652,12450,38256,212252
Jordan,2553,7380,21076,209854
Ukraine,3104,16001,38170,205813
Japan,2666,10624,30806,199896
Nicaragua,318,2652,34962,171563
Bulgaria,3214,14396,37590,167345
Benin,2377,9261,30608,166499
Italy,3765,17885,37300,164757
Malaysia,2035,8565,23192,162414
Panama,565,2934,34057,157201
Tunisia,1914,5924,16960,152756
Viet Nam,2240,9445,27435,147239
Spain,1643,7797,18089,145418
Moldova,1766,7515,17387,124898
Argentina,1487,6177,17180,108570
Iraq,2306,6744,21795,106864
Yemen,3936,8905,18925,99918
Netherlands,1719,7577,23110,98647
Burkina Faso,1625,6068,19704,92371
Belgium,985,4394,11652,83315
New Zealand,1360,5358,15757,79908
Thailand,1035,4184,13561,77018
Belarus,833,5814,15983,76709
Azerbaijan,970,5135,21201,75740
Puerto Rico,300,1388,7285,75296
Hong Kong SAR of China,894,4453,12684,73204
Bangladesh,2088,9231,25158,71362
Switzerland,958,4393,12810,69857
Madagascar,1498,4952,14508,69502
China,404,1836,5581,62609
Ireland,990,3640,10631,59190
Guinea,1762,7962,26946,57673
Senegal,1410,3814,11220,56870
Burundi,905,3472,11682,56820
Gabon,514,1719,6539,56302
Albania,932,4350,10926,54307
South Korea,933,4001,11721,53803
United Arab Emirates,861,3470,10692,52198
Austria,741,3235,8606,51775
Sweden,726,3215,9540,50039
Czech Republic,492,3152,6649,49267
Malawi,316,1759,8237,45358
Rwanda,2244,7177,20637,45305
Mali,1230,3669,11153,44708
Cape Verde,472,1809,5530,42765
Kazakhstan,866,3525,10123,39663
Taiwan region,502,1937,7599,39173
Haiti,1476,3818,11917,37782
Uzbekistan,1228,4877,12184,37535
Liberia,1041,3778,11621,36535
Zimbabwe,523,2109,6408,35979
Jamaica,857,3581,9878,35793
Togo,2205,5603,14435,35013
Saudi Arabia,551,2342,7112,34732
Serbia,453,2068,5891,34604
Greece,569,2689,7214,33048
Myanmar,309,1405,4390,32534
Afghanistan,399,1696,4700,30896
Congo,324,1119,3719,30809
Croatia,378,1656,4907,30434
Tanzania,590,2156,6613,29763
Papua New Guinea,178,786,2561,29616
Finland,582,2402,8232,28852
Dominican Republic,397,1627,5525,27905
Nepal,622,2178,6398,27355
Uruguay,82,749,2146,26214
Trinidad and Tobago,601,2193,6176,24841
Kyrgyzstan,626,2394,7044,22660
Mongolia,744,2498,6669,22083
Sudan,1035,3565,8041,22027
Paraguay,194,890,2607,21934
Georgia,329,1525,4131,21100
Chad,270,841,2142,21035
El Salvador,207,1098,6358,21003
Niger,405,1642,4983,20214
Norway,330,1411,3839,20099
Iran (Islamic Republic of),56,483,1549,19646
Israel,291,1112,3408,18280
Armenia,314,1284,3311,17926
Sri Lanka,308,1516,4110,17478
Botswana,193,849,2512,16936
Kuwait,237,946,3053,16433
Lithuania,319,1313,2957,16207
Bolivia,231,999,2942,16138
Mauritius,244,1143,3164,15982
Lao Peoples Democratic Republic,104,364,1039,15752
Namibia,211,1047,3336,14848
Qatar,255,940,2870,13782
Slovenia,342,1252,3032,13673
Luxembourg,138,538,1377,13261
Cambodia,218,670,1752,12417
Denmark,219,978,2688,12158
Equatorial Guinea,25,212,2395,12072
Macedonia,174,786,1965,11994
Bahamas,268,1205,3252,11754
Syrian Arab Republic,191,726,2296,11704
Libyan Arab Jamahiriya,80,515,2016,10741
Swaziland,101,537,1637,9827
Oman,167,604,1824,9501
Cuba,34,120,560,8893
Guinea-Bissau,115,509,1726,8600
Tajikistan,230,1035,2361,8289
Sierra Leone,136,666,1893,8283
Bosnia and Herzegovina,124,544,1524,8167
Cyprus,116,528,1554,8118
Fiji,174,687,2081,7783
Reunion,114,459,1412,7715
Central African Republic,154,449,1346,7584
Saint Lucia,60,259,654,7192
Barbados,133,637,1833,7105
Somalia,118,482,1102,6972
Bahrain,130,453,1424,6918
Latvia,146,531,1398,6109
Guyana,163,620,1626,6089
Estonia,119,493,1320,5870
Palestinian Territories,93,332,949,5579
Martinique,73,336,880,5359
Lesotho,72,300,896,5310
Belize,117,416,1211,4667
South Sudan,142,528,1333,4508
Montenegro,64,598,1272,4409
Malta,76,322,855,4367
Curacao,34,227,639,4222
Sao Tome and Principe,76,274,714,3503
Guadeloupe,53,209,618,3366
Guam,63,251,738,3348
Grenada,34,145,403,3332
Antigua and Barbuda,27,76,237,3322
Brunei Darussalam,47,194,599,3241
Macau SAR of China,31,184,552,2966
Turkmenistan,19,82,862,2830
Maldives,33,190,607,2723
Bhutan,39,163,503,2484
Suriname,81,249,673,2271
French Guiana,21,130,349,2171
Cayman Islands,42,160,453,2124
Saint Vincent and The Grenadines,30,160,421,2032
Iceland,37,159,403,1964
Europe (Unknown Country),25,138,165,1729
Gambia,62,208,550,1698
Djibouti,13,53,164,1672
French Polynesia,10,81,280,1661
Mauritania,54,229,542,1600
Vanuatu,23,88,291,1577
Timor-Leste,41,196,478,1555
New Caledonia,16,97,291,1505
Bermuda,27,122,343,1504
Jersey,36,126,365,1388
Seychelles,27,108,289,1343
Aruba,26,83,230,1328
US Virgin Islands,26,96,305,1315
Dominica,29,104,310,1274
Solomon Islands,31,117,370,1245
Anguilla,12,62,175,1200
Turks and Caicos Islands,13,88,254,1048
Samoa,18,115,290,969
Monaco,18,75,257,964
Saint Kitts and Nevis,10,56,170,908
Tonga,17,88,194,841
Sint Maarten,25,69,184,715
British Virgin Islands,13,64,193,693
Comoros,4,18,43,653
Isle of Man,10,54,131,649
