#=================================================================
# GodTools
# Report Suite: God Tools Mobile App
"# Date: Dec 1, 2019 - Nov 29, 2020"
#=================================================================


##############################################
# GodTools Digital Missionaires
##############################################
,Active User (GodTools),Active User (GodTools),Active User (GodTools),Active User (GodTools)
,Last FULL 365 days (-2),Last FULL 90 days (-2),Last FULL 30 days (-2),Last FULL 7 days (-2)
,Unique Visitors,Unique Visitors,Unique Visitors,Unique Visitors
Countries,26258,7806,2875,639
Indonesia,2156,884,618,156
Venezuela,1431,911,376,83
Mexico,1490,879,251,35
Colombia,1350,637,216,35
Argentina,1018,549,185,36
United States,5543,542,156,18
Guatemala,626,333,145,27
Philippines,1883,678,141,32
Ireland,773,353,125,21
India,940,201,57,10
Viet Nam,330,107,52,11
Ghana,455,110,38,7
Singapore,507,91,29,9
Cameroon,439,77,29,7
Nigeria,366,129,26,6
Malaysia,338,58,24,4
Uganda,215,86,22,2
Benin,88,36,22,12
Ecuador,241,54,21,14
South Africa,244,51,20,5
Australia,290,53,19,12
New Zealand,347,62,18,4
Democratic Republic of The Congo,232,49,17,5
Lao Peoples Democratic Republic,41,21,17,10
Brazil,488,70,15,6
Hong Kong SAR of China,208,38,15,4
United Kingdom,237,35,12,0
Egypt,52,17,12,3
Kenya,384,95,11,2
Taiwan region,155,39,11,4
Cambodia,97,28,11,2
Cote D Ivoire,111,35,10,1
Myanmar,73,19,10,3
Togo,53,15,10,2
Mali,37,16,10,2
Gambia,21,17,10,4
Timor-Leste,47,32,9,0
South Korea,142,20,8,0
Burkina Faso,18,12,8,2
Canada,184,20,7,0
Russian Federation,106,42,7,2
Ukraine,100,17,7,2
El Salvador,90,14,7,0
Kyrgyzstan,63,17,7,0
Liberia,55,24,7,1
Lebanon,54,11,7,4
Bolivia,37,10,7,0
Swaziland,20,11,7,0
China,193,18,6,3
Germany,116,22,6,0
France,99,15,6,0
Panama,92,15,6,2
Peru,77,16,6,4
United Arab Emirates,225,31,5,0
Tunisia,70,15,5,3
Congo,48,11,5,3
Moldova,33,12,5,0
Central African Republic,21,16,5,2
Thailand,263,37,4,1
Ethiopia,244,29,4,1
Chile,77,5,4,0
Poland,61,7,4,2
Kazakhstan,55,13,4,2
Puerto Rico,49,12,4,0
Fiji,44,12,4,0
Algeria,40,10,4,1
Zambia,120,22,3,3
Spain,97,7,3,1
Gabon,61,6,3,3
Turkey,60,7,3,2
Madagascar,56,10,3,0
Netherlands,53,9,3,0
Burundi,39,11,3,2
Romania,36,3,3,1
Angola,29,13,3,1
Chad,25,4,3,1
Tanzania,21,5,3,0
Belarus,10,5,3,0
Costa Rica,143,9,2,1
Japan,122,12,2,1
Somalia,59,7,2,0
Haiti,58,8,2,0
Saudi Arabia,55,10,2,1
Jordan,54,5,2,2
Nicaragua,41,12,2,1
Guyana,40,10,2,0
Nepal,30,11,2,1
Barbados,29,4,2,0
Iraq,29,3,2,1
Belgium,27,5,2,0
Qatar,22,4,2,0
Senegal,17,3,2,1
Suriname,15,4,2,1
Mozambique,10,4,2,1
Finland,8,2,2,0
Grenada,3,2,2,0
South Sudan,3,2,2,0
Zimbabwe,92,14,1,0
Mauritius,52,9,1,0
Dominican Republic,52,4,1,0
Trinidad and Tobago,47,4,1,0
Malawi,42,4,1,0
Italy,41,9,1,1
Bangladesh,35,15,1,0
Albania,32,5,1,1
Kuwait,28,5,1,0
Paraguay,27,8,1,0
Rwanda,21,10,1,0
Hungary,21,4,1,0
Bahrain,17,1,1,0
Pakistan,15,7,1,1
Morocco,14,3,1,0
Macau SAR of China,10,1,1,0
Portugal,7,1,1,1
Uzbekistan,3,1,1,0
Syrian Arab Republic,3,1,1,0
Saint Vincent and The Grenadines,2,1,1,0
Bahamas,2,1,1,0
Honduras,77,8,0,0
Mongolia,33,16,0,0
Papua New Guinea,27,2,0,0
Jamaica,24,9,0,0
Bhutan,21,3,0,0
Sri Lanka,20,3,0,0
