#=================================================================
# EveryStudent Email Signups
# Report Suite: Every Student - Production
"# Date: Dec 2, 2019 - Nov 30, 2020"
#=================================================================


##############################################
# Signups by country
##############################################
,Email Signups (E.S.),Email Signups (E.S.),Email Signups (E.S.),Email Signups (E.S.)
,Last FULL 7 days (-2),Last FULL 30 days (-2),Last FULL 90 days (-2),Last FULL 365 days (-2)
,Unique Visitors,Unique Visitors,Unique Visitors,Unique Visitors
Countries,664,3311,12433,110200
Brazil,387,2184,6823,53598
Colombia,3,30,485,8095
Mexico,10,38,528,7583
United States,38,156,557,4965
Venezuela,5,34,562,3852
Peru,0,11,168,3386
Ecuador,2,9,231,3134
Angola,28,130,449,2669
Nigeria,8,30,130,1733
Mozambique,11,58,221,1394
Chile,2,9,89,1309
Guatemala,0,7,131,1218
Russian Federation,7,76,198,897
Egypt,11,33,91,886
United Kingdom,3,17,70,749
Honduras,1,1,75,740
Costa Rica,0,4,69,689
Panama,1,8,50,619
Morocco,7,16,37,612
Portugal,6,20,48,612
South Africa,1,6,23,548
Cote D Ivoire,4,27,79,543
Democratic Republic of The Congo,16,34,91,487
Cameroon,4,22,76,481
Nicaragua,0,3,48,450
France,7,16,39,436
Algeria,6,14,45,419
Canada,3,13,49,415
Benin,8,18,58,349
Uganda,1,6,23,339
Ghana,0,7,19,334
Puerto Rico,1,2,20,311
Yemen,14,20,60,256
Spain,0,2,13,250
Lebanon,6,16,46,248
Kenya,0,3,18,247
Papua New Guinea,0,1,5,247
Germany,2,13,31,242
Argentina,1,2,15,211
Jordan,2,5,22,204
Gabon,1,8,32,193
Ethiopia,0,5,15,189
Zambia,0,1,5,183
Australia,3,9,21,173
Cape Verde,1,8,19,153
Madagascar,6,13,29,149
Haiti,4,11,48,147
Botswana,1,3,6,142
Ukraine,1,13,34,141
India,0,2,12,141
Congo,3,7,20,131
Burkina Faso,3,6,19,125
Philippines,0,1,23,120
Equatorial Guinea,0,2,18,113
Togo,9,15,36,108
Pakistan,0,1,4,105
Zimbabwe,1,1,4,99
Switzerland,0,4,8,91
Senegal,2,6,20,87
Belgium,2,4,11,83
Tunisia,0,3,9,81
Uruguay,0,0,1,77
Burundi,0,8,15,75
Belarus,4,11,22,74
Italy,1,5,10,66
Iraq,1,2,6,66
New Zealand,1,4,6,65
Japan,2,7,17,64
Netherlands,0,2,7,55
Malawi,0,0,3,55
Chad,3,5,12,53
Guinea,3,8,24,51
Swaziland,0,1,2,48
Ireland,0,2,3,46
Singapore,0,2,8,43
Paraguay,0,0,5,43
Liberia,0,1,5,40
