#=================================================================
# EveryStudent Email Signups
# Report Suite: Every Student - Production
"# Date: Dec 16, 2019 - Dec 14, 2020"
#=================================================================


##############################################
# Signups by country
##############################################
,Email Signups (E.S.),Email Signups (E.S.),Email Signups (E.S.),Email Signups (E.S.)
,Last FULL 7 days (-2),Last FULL 30 days (-2),Last FULL 90 days (-2),Last FULL 365 days (-2)
,Unique Visitors,Unique Visitors,Unique Visitors,Unique Visitors
Countries,918,3124,11876,108319
Brazil,654,2006,6852,53115
Colombia,8,23,397,7888
Mexico,10,25,384,7349
United States,36,165,521,4777
Venezuela,7,24,461,3720
Peru,1,4,115,3276
Ecuador,1,6,182,3056
Angola,31,113,414,2633
Nigeria,5,26,113,1712
Mozambique,15,52,212,1360
Chile,3,10,66,1262
Guatemala,1,5,101,1176
Russian Federation,15,53,211,896
Egypt,10,41,102,890
United Kingdom,7,15,73,719
Honduras,0,1,59,712
Costa Rica,2,4,53,676
Morocco,4,23,43,615
Panama,0,4,30,611
Portugal,8,26,55,605
Cote D Ivoire,5,25,83,543
South Africa,2,7,20,521
Democratic Republic of The Congo,5,41,93,494
Cameroon,2,16,71,472
Nicaragua,1,2,37,440
France,3,19,44,426
Algeria,8,22,48,424
Canada,5,11,50,398
Benin,6,25,60,358
Uganda,0,5,19,328
Ghana,0,4,15,327
Puerto Rico,0,2,16,298
Yemen,11,45,87,281
Lebanon,2,19,45,249
Papua New Guinea,0,0,4,242
Kenya,1,3,17,240
Germany,0,10,30,226
Spain,0,0,10,223
Argentina,0,4,12,207
Jordan,1,8,26,204
Gabon,2,4,25,189
Ethiopia,0,3,14,184
Zambia,0,1,5,180
Australia,3,12,22,171
Haiti,2,15,49,154
Madagascar,3,16,31,150
Cape Verde,3,8,19,150
Botswana,0,1,4,141
Ukraine,5,13,38,138
Congo,0,7,18,131
India,0,0,10,130
Philippines,2,4,24,122
Burkina Faso,0,5,17,119
Togo,0,17,36,114
Pakistan,2,3,7,108
Equatorial Guinea,0,0,12,105
Zimbabwe,0,1,2,97
Switzerland,2,7,13,91
Senegal,1,4,18,86
Tunisia,1,7,13,85
Belgium,1,4,12,79
Burundi,1,7,14,74
Uruguay,0,0,1,73
Belarus,0,8,23,71
Iraq,3,8,13,70
Japan,3,10,18,65
Italy,0,4,9,65
New Zealand,0,2,6,60
Netherlands,1,5,10,54
Malawi,0,0,3,52
Guinea,0,7,21,51
Chad,0,3,12,50
Swaziland,0,0,2,47
Paraguay,1,2,6,42
Ireland,0,1,2,41
Central African Republic,2,4,9,40
Liberia,0,0,2,39
