record_id,activitywindow_date_id,source_id,country,value,isOriginal
,572,50,GGG,699931,1
,572,50,USA,198518,1
,572,50,BRA,75043,1
,572,50,MEX,8972,1
,572,50,IND,33997,1
,572,50,TUR,29323,1
,572,50,NGA,36752,1
,572,50,COL,7218,1
,572,50,IDN,13945,1
,572,50,EGY,24913,1
,572,50,POL,7606,1
,572,50,ROU,11472,1
,572,50,HUN,8929,1
,572,50,PER,2586,1
,572,50,ECU,2541,1
,572,50,PHL,19502,1
,572,50,FRA,7880,1
,572,50,VEN,4706,1
,572,50,GBR,10506,1
,572,50,CHL,1625,1
,572,50,CAN,13714,1
,572,50,RUS,11200,1
,572,50,COD,6424,1
,572,50,MAR,3288,1
,572,50,SVK,2246,1
,572,50,GTM,907,1
,572,50,ZAF,4556,1
,572,50,DZA,8815,1
,572,50,CMR,5266,1
,572,50,AUS,4704,1
,572,50,AGO,4699,1
,572,50,KEN,4711,1
,572,50,DEU,5746,1
,572,50,HND,371,1
,572,50,UGA,1981,1
,572,50,CRI,1601,1
,572,50,PAK,2509,1
,572,50,ETH,4141,1
,572,50,LBN,5946,1
,572,50,CIV,3408,1
,572,50,GHA,3284,1
,572,50,SGP,3841,1
,572,50,ZMB,2466,1
,572,50,JOR,2892,1
,572,50,PRT,1129,1
,572,50,MOZ,2587,1
,572,50,UKR,3006,1
,572,50,JPN,1420,1
,572,50,BEN,2094,1
,572,50,BGR,3063,1
,572,50,NIC,206,1
,572,50,ITA,3137,1
,572,50,MYS,1730,1
,572,50,PAN,637,1
,572,50,TUN,2835,1
,572,50,VNM,1653,1
,572,50,ESP,1668,1
,572,50,MDA,1549,1
,572,50,IRQ,3277,1
,572,50,YEM,4165,1
,572,50,ARG,1538,1
,572,50,NLD,1515,1
,572,50,BFA,2205,1
,572,50,BEL,943,1
,572,50,NZL,1107,1
,572,50,BLR,920,1
,572,50,AZE,1163,1
,572,50,BGD,1442,1
,572,50,THA,1273,1
,572,50,HKG,883,1
,572,50,PRI,308,1
,572,50,MDG,1148,1
,572,50,CHE,1046,1
,572,50,GIN,1719,1
,572,50,CHN,403,1
,572,50,BDI,895,1
,572,50,IRL,753,1
,572,50,SEN,585,1
,572,50,GAB,279,1
,572,50,ALB,1349,1
,572,50,KOR,912,1
,572,50,ARE,804,1
,572,50,AUT,593,1
,572,50,SWE,777,1
,572,50,RWA,1858,1
,572,50,CZE,369,1
,572,50,MLI,642,1
,572,50,MWI,266,1
,572,50,CPV,479,1
,572,50,TWN,522,1
,572,50,UZB,1237,1
,572,50,KAZ,838,1
,572,50,HTI,645,1
,572,50,LBR,875,1
,572,50,TGO,1176,1
,572,50,JAM,741,1
,572,50,ZWE,461,1
,572,50,SAU,528,1
,572,50,SRB,577,1
,572,50,GRC,610,1
,572,50,MMR,296,1
,572,50,AFG,340,1
,572,50,HRV,302,1
,572,50,COG,215,1
,572,50,PNG,198,1
,572,50,TZA,554,1
,572,50,FIN,475,1
,572,50,NPL,458,1
,572,50,DOM,419,1
,572,50,URY,102,1
,572,50,TTO,361,1
,572,50,SDN,988,1
,572,50,KGZ,874,1
,572,50,MNG,670,1
,572,50,PRY,156,1
,572,50,GEO,280,1
,572,50,NER,372,1
,572,50,TCD,107,1
,572,50,SLV,179,1
,572,50,IRN,42,1
,572,50,NOR,313,1
,572,50,ISR,262,1
,572,50,LKA,274,1
,572,50,ARM,335,1
,572,50,BWA,152,1
,572,50,KWT,263,1
,572,50,LTU,340,1
,572,50,MUS,242,1
,572,50,BOL,185,1
,572,50,LAO,91,1
,572,50,NAM,229,1
,572,50,QAT,204,1
,572,50,SVN,226,1
,572,50,LUX,194,1
,572,50,KHM,184,1
,572,50,MKD,220,1
,572,50,SYR,266,1
,572,50,DNK,221,1
,572,50,BHS,180,1
,572,50,GNQ,17,1
,572,50,LBY,221,1
,572,50,SWZ,104,1
,572,50,OMN,176,1
,572,50,GNB,161,1
,572,50,CUB,39,1
,572,50,TJK,187,1
,572,50,BIH,98,1
,572,50,CYP,101,1
,572,50,FJI,114,1
,572,50,CAF,125,1
,572,50,REU,124,1
,572,50,SLE,155,1
,572,50,LCA,49,1
,572,50,BRB,127,1
,572,50,BHR,107,1
,572,50,GUY,165,1
,572,50,LVA,118,1
,572,50,EST,106,1
,572,50,SOM,94,1
,572,50,PSE,92,1
,572,50,MTQ,67,1
,572,50,LSO,87,1
,572,50,BLZ,90,1
,572,50,SSD,107,1
,572,50,MNE,117,1
,572,50,MLT,69,1
,572,50,CUW,23,1
,572,50,STP,83,1
,572,50,GUM,60,1
,572,50,GRD,18,1
,572,50,ATG,21,1
,572,50,GLP,52,1
,572,50,BRN,45,1
,572,50,MAC,29,1
,572,50,MDV,59,1
,572,50,TKM,17,1
,572,50,BTN,54,1
,572,50,SUR,87,1
,572,50,CYM,26,1
,572,50,GUF,27,1
,572,50,VCT,25,1
,572,50,ISL,34,1
,572,50,NU2,21,1
,572,50,GMB,46,1
,572,50,MRT,48,1
,572,50,PYF,19,1
,572,50,VUT,20,1
,572,50,TLS,25,1
,572,50,DJI,9,1
,572,50,BMU,22,1
,572,50,NCL,18,1
,572,50,JEY,49,1
,572,50,SYC,17,1
,572,50,VIR,19,1
,572,50,ABW,8,1
,572,50,DMA,25,1
,572,50,SLB,25,1
,572,50,AIA,13,1
,572,50,TCA,19,1
,572,50,MCO,15,1
,572,50,WSM,18,1
,572,50,KNA,16,1
,572,50,TON,19,1
,572,50,SXM,12,1
,572,50,VGB,19,1
,572,50,COM,0,1
,572,50,IMN,9,1
,572,50,MNP,9,1
,572,50,GGY,11,1
,572,50,GIB,6,1
,572,50,FRO,7,1
,572,50,FSM,5,1
,572,50,GRL,19,1
,572,50,PLW,7,1
,572,50,BES,3,1
,572,50,MAF,2,1
,572,50,AND,2,1
,572,50,COK,1,1
,572,50,MHL,4,1
,572,50,KIR,2,1
,572,50,LIE,4,1
,572,50,MYT,2,1
,572,50,NRU,5,1
,572,50,ERI,0,1
,572,50,VAT,0,1
,572,50,SMR,0,1
,572,50,ALA,0,1
,572,50,FLK,0,1
,572,50,SPM,0,1
,572,50,WLF,0,1
,572,50,ASM,0,1
,572,50,TUV,1,1
,572,50,IOT,1,1
,572,50,MSR,0,1
,572,50,NIU,0,1
,572,50,NFK,0,1
,572,50,TKL,0,1
,572,50,PRK,0,1
,572,50,CCK,0,1
,572,50,SHN,0,1
,572,50,BLM,0,1
,1469,50,GGG,2872464,1
,1469,50,USA,763861,1
,1469,50,BRA,230583,1
,1469,50,MEX,28370,1
,1469,50,IND,166507,1
,1469,50,TUR,141524,1
,1469,50,NGA,165508,1
,1469,50,COL,21578,1
,1469,50,IDN,98345,1
,1469,50,EGY,89815,1
,1469,50,POL,57300,1
,1469,50,ROU,55132,1
,1469,50,HUN,38301,1
,1469,50,PER,7761,1
,1469,50,ECU,7664,1
,1469,50,PHL,86209,1
,1469,50,FRA,31975,1
,1469,50,VEN,11906,1
,1469,50,GBR,45655,1
,1469,50,CHL,4136,1
,1469,50,CAN,54793,1
,1469,50,RUS,47856,1
,1469,50,COD,27569,1
,1469,50,MAR,14234,1
,1469,50,SVK,12090,1
,1469,50,GTM,3988,1
,1469,50,ZAF,22472,1
,1469,50,DZA,24718,1
,1469,50,CMR,21891,1
,1469,50,AUS,21106,1
,1469,50,AGO,15861,1
,1469,50,KEN,21894,1
,1469,50,DEU,24844,1
,1469,50,HND,1730,1
,1469,50,UGA,13721,1
,1469,50,CRI,3365,1
,1469,50,PAK,14770,1
,1469,50,ETH,18351,1
,1469,50,LBN,23458,1
,1469,50,CIV,15714,1
,1469,50,GHA,15094,1
,1469,50,SGP,16408,1
,1469,50,ZMB,11709,1
,1469,50,JOR,10356,1
,1469,50,PRT,4559,1
,1469,50,MOZ,10674,1
,1469,50,UKR,14501,1
,1469,50,JPN,8445,1
,1469,50,BEN,8741,1
,1469,50,BGR,12811,1
,1469,50,NIC,1077,1
,1469,50,ITA,17128,1
,1469,50,MYS,7454,1
,1469,50,PAN,2208,1
,1469,50,TUN,8239,1
,1469,50,VNM,8233,1
,1469,50,ESP,7591,1
,1469,50,MDA,8221,1
,1469,50,IRQ,10030,1
,1469,50,YEM,14978,1
,1469,50,ARG,5576,1
,1469,50,NLD,6715,1
,1469,50,BFA,7461,1
,1469,50,BEL,4046,1
,1469,50,NZL,5038,1
,1469,50,BLR,4865,1
,1469,50,AZE,4266,1
,1469,50,BGD,7704,1
,1469,50,THA,4538,1
,1469,50,HKG,3679,1
,1469,50,PRI,1214,1
,1469,50,MDG,5377,1
,1469,50,CHE,3950,1
,1469,50,GIN,6108,1
,1469,50,CHN,1746,1
,1469,50,BDI,3453,1
,1469,50,IRL,3541,1
,1469,50,SEN,3866,1
,1469,50,GAB,1544,1
,1469,50,ALB,4737,1
,1469,50,KOR,3889,1
,1469,50,ARE,3513,1
,1469,50,AUT,2799,1
,1469,50,SWE,3167,1
,1469,50,RWA,7923,1
,1469,50,CZE,1869,1
,1469,50,MLI,3975,1
,1469,50,MWI,1397,1
,1469,50,CPV,1608,1
,1469,50,TWN,2082,1
,1469,50,UZB,4900,1
,1469,50,KAZ,3204,1
,1469,50,HTI,4232,1
,1469,50,LBR,3993,1
,1469,50,TGO,6573,1
,1469,50,JAM,3370,1
,1469,50,ZWE,2048,1
,1469,50,SAU,2282,1
,1469,50,SRB,2253,1
,1469,50,GRC,2542,1
,1469,50,MMR,1551,1
,1469,50,AFG,1549,1
,1469,50,HRV,1338,1
,1469,50,COG,1090,1
,1469,50,PNG,774,1
,1469,50,TZA,2293,1
,1469,50,FIN,2065,1
,1469,50,NPL,2039,1
,1469,50,DOM,1698,1
,1469,50,URY,355,1
,1469,50,TTO,2025,1
,1469,50,SDN,4306,1
,1469,50,KGZ,2442,1
,1469,50,MNG,2669,1
,1469,50,PRY,700,1
,1469,50,GEO,1298,1
,1469,50,NER,1599,1
,1469,50,TCD,747,1
,1469,50,SLV,785,1
,1469,50,IRN,226,1
,1469,50,NOR,1248,1
,1469,50,ISR,1105,1
,1469,50,LKA,1237,1
,1469,50,ARM,1210,1
,1469,50,BWA,749,1
,1469,50,KWT,1052,1
,1469,50,LTU,1460,1
,1469,50,MUS,1015,1
,1469,50,BOL,845,1
,1469,50,LAO,317,1
,1469,50,NAM,947,1
,1469,50,QAT,915,1
,1469,50,SVN,1171,1
,1469,50,LUX,641,1
,1469,50,KHM,678,1
,1469,50,MKD,874,1
,1469,50,SYR,855,1
,1469,50,DNK,868,1
,1469,50,BHS,972,1
,1469,50,GNQ,96,1
,1469,50,LBY,512,1
,1469,50,SWZ,456,1
,1469,50,OMN,717,1
,1469,50,GNB,501,1
,1469,50,CUB,134,1
,1469,50,TJK,803,1
,1469,50,BIH,495,1
,1469,50,CYP,446,1
,1469,50,FJI,560,1
,1469,50,CAF,587,1
,1469,50,REU,496,1
,1469,50,SLE,637,1
,1469,50,LCA,237,1
,1469,50,BRB,567,1
,1469,50,BHR,476,1
,1469,50,GUY,596,1
,1469,50,LVA,520,1
,1469,50,EST,510,1
,1469,50,SOM,387,1
,1469,50,PSE,369,1
,1469,50,MTQ,313,1
,1469,50,LSO,303,1
,1469,50,BLZ,419,1
,1469,50,SSD,463,1
,1469,50,MNE,385,1
,1469,50,MLT,309,1
,1469,50,CUW,187,1
,1469,50,STP,285,1
,1469,50,GUM,248,1
,1469,50,GRD,119,1
,1469,50,ATG,100,1
,1469,50,GLP,212,1
,1469,50,BRN,183,1
,1469,50,MAC,158,1
,1469,50,MDV,176,1
,1469,50,TKM,77,1
,1469,50,BTN,195,1
,1469,50,SUR,261,1
,1469,50,CYM,141,1
,1469,50,GUF,95,1
,1469,50,VCT,123,1
,1469,50,ISL,156,1
