record_id,source_id,country,value,activitywindow_date_id,isOriginal
,61,GGG,323191,3252,1
,52,GGG,5302632,3252,1
,55,GGG,263532,3252,1
,56,GGG,20195,3252,1
,83,GGG,395,3252,1
,61,GGG,323194,3253,1
,52,GGG,5303870,3253,1
,55,GGG,263689,3253,1
,56,GGG,20206,3253,1
,83,GGG,395,3253,1
,61,GGG,323121,3254,1
,52,GGG,5305112,3254,1
,55,GGG,263836,3254,1
,56,GGG,20211,3254,1
,83,GGG,395,3254,1
,61,GGG,323172,3255,1
,52,GGG,5305808,3255,1
,55,GGG,263873,3255,1
,56,GGG,20221,3255,1
,83,GGG,395,3255,1
,61,GGG,323131,3256,1
,52,GGG,5306539,3256,1
,55,GGG,264111,3256,1
,56,GGG,20224,3256,1
,83,GGG,395,3256,1
,61,GGG,323093,3259,1
,52,GGG,5308973,3259,1
,55,GGG,264417,3259,1
,56,GGG,20241,3259,1
,83,GGG,395,3259,1
,61,GGG,323079,3260,1
,52,GGG,5310581,3260,1
,55,GGG,264210,3260,1
,56,GGG,20253,3260,1
,83,GGG,395,3260,1
,61,GGG,323130,3261,1
,52,GGG,5311646,3261,1
,55,GGG,264347,3261,1
,56,GGG,20262,3261,1
,83,GGG,395,3261,1
,61,GGG,323165,3262,1
,52,GGG,5312514,3262,1
,55,GGG,264554,3262,1
,56,GGG,20269,3262,1
,83,GGG,395,3262,1
,61,GGG,323143,3263,1
,52,GGG,5313317,3263,1
,55,GGG,264678,3263,1
,56,GGG,20272,3263,1
,83,GGG,395,3263,1
,61,GGG,323144,3266,1
,52,GGG,5315734,3266,1
,55,GGG,265030,3266,1
,56,GGG,20290,3266,1
,83,GGG,395,3266,1
,61,GGG,323243,3267,1
,52,GGG,5316507,3267,1
,55,GGG,265138,3267,1
,56,GGG,20295,3267,1
,83,GGG,395,3267,1
,61,GGG,323306,3268,1
,52,GGG,5316679,3268,1
,55,GGG,265238,3268,1
,56,GGG,20302,3268,1
,83,GGG,395,3268,1
,61,GGG,323372,3269,1
,52,GGG,5317004,3269,1
,55,GGG,265329,3269,1
,56,GGG,20306,3269,1
,83,GGG,395,3269,1
,61,GGG,323344,3270,1
,52,GGG,5317880,3270,1
,55,GGG,265377,3270,1
,56,GGG,20305,3270,1
,83,GGG,395,3270,1
,61,GGG,323297,3273,1
,52,GGG,5320240,3273,1
,55,GGG,265868,3273,1
,56,GGG,20320,3273,1
,83,GGG,395,3273,1
,61,GGG,323323,3274,1
,52,GGG,5321232,3274,1
,55,GGG,265956,3274,1
,56,GGG,20325,3274,1
,83,GGG,395,3274,1
,61,GGG,323403,3275,1
,52,GGG,5322101,3275,1
,55,GGG,266067,3275,1
,56,GGG,20330,3275,1
,83,GGG,395,3275,1
,61,GGG,323465,3276,1
,52,GGG,5322634,3276,1
,55,GGG,262005,3276,1
,56,GGG,20336,3276,1
,83,GGG,395,3276,1
