record_id,source_id,country,value,activitywindow_date_id,isOriginal
,80,GGG,62400000,3250,1
,82,GGG,385700,3250,1
,80,GGG,62500000,3251,1
,82,GGG,386700,3251,1
,80,GGG,62600000,3252,1
,82,GGG,387600,3252,1
,80,GGG,62700000,3253,1
,82,GGG,388600,3253,1
,80,GGG,62800000,3254,1
,82,GGG,389500,3254,1
,80,GGG,63200000,3257,1
,82,GGG,392600,3257,1
,80,GGG,63300000,3258,1
,82,GGG,393800,3258,1
,80,GGG,63400000,3259,1
,82,GGG,394700,3259,1
,80,GGG,63600000,3260,1
,82,GGG,395600,3260,1
,80,GGG,63700000,3261,1
,82,GGG,396600,3261,1
,80,GGG,64000000,3264,1
,82,GGG,399400,3264,1
,80,GGG,64200000,3265,1
,82,GGG,400400,3265,1
,80,GGG,64300000,3266,1
,82,GGG,401200,3266,1
,80,GGG,64400000,3267,1
,82,GGG,402100,3267,1
,80,GGG,64400000,3268,1
,82,GGG,402700,3268,1
,80,GGG,64900000,3271,1
,82,GGG,406600,3271,1
,80,GGG,65000000,3272,1
,82,GGG,407400,3272,1
,80,GGG,65100000,3273,1
,82,GGG,408200,3273,1
,80,GGG,65300000,3274,1
,82,GGG,409100,3274,1
,80,GGG,65400000,3275,1
,82,GGG,409900,3275,1
,80,GGG,65500000,3276,1
,82,GGG,410600,3276,1
